name,brand,sku,price,currency,pack_size,availability,category_path,url,description,image_urls,specifications,extraction_method,extraction_confidence,fields_via_llm,extracted_at
Ocean Pacific NeoNatural,Medicom,DRDAS,23.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/ocean-pacific-sup-reg-sup-neonatural-sup-trade-sup,Powder-free chloroprene examination gloves.Polychlorprene exam gloves combine the softness of latex with the strength of nitrile for reliable protection without sacrificing comfort or dexterity.Textured fingertip finishBeaded cuffAmbidextrousEmerald green colorThickness: at palm 3.1 mils; at fingertip 4 mils100 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drdas.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:38.594612Z
True Comfort Blu,Dash,DRDAQ,19.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/true-comfort-reg-blu,"Powder-free, latex-free, chloroprene examination gloves.Unrivaled wet grip, increased touch sensitivity, and silky smooth comfort. Chemotherapty drug rated.Textured fingertip finishBeaded cuffAmbidextrousOcean blue colorThickness: at palm 2.4 mils; at fingertip 3.1 milsTo purchase a full case, please order as qty of 10 boxes","[""https://www.safcodental.com/media/catalog/product/d/r/drdaq.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:40.589561Z
Neogard,Ansell,DRDAF,32.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/microflex-sup-reg-sup-neogard-sup-reg-sup,Powder-free chloroprene exam gloves.Exceptional tactile sensitivity. Excellent wet and dry grip. Stretchy soft comfort.Textured fingertip finishBeaded cuffAmbidextrousChloroprenePolymer coated for easy donningGreen colorThickness: at palm 3.9 mils; at fingertip 5.1 mils100 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drdaf.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:42.444097Z
Black Maxx,Dash,DRCDI,24.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/black-maxx-sup-reg-sup,Powder-free nitrile exam gloves.Proprietary inner coating helps gloves glide on damp hands easily.Textured fingertip finishBeaded cuffAmbidextrousBlack colorPolymer coatedThickness: at palm 2.8 mils; at fingertip 3.9 milsOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcdi.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:44.594750Z
GloveUp,Dash,DRCDH,30.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/gloveup-sup-reg-sup,Powder-free nitrile exam gloves.Textured fingertip finishBeaded cuffAmbidextrousCobalt colorThickness: at palm 1.9 mils; at fingertip 3.1 milsOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcdh.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:46.510546Z
Bio Nitrile,Cranberry,DRCDG,23.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/bio-nitrile-sup-reg-sup,BioNitrile gloves are made with advanced biodegradable materials that break down 90% in less than 1.5 years. This reduces permanent waste and means less greenhouse gas emissions.Textured fingertip finishBeaded cuffAmbidextrousBlue colorThickness at palm 2.0 milsThickness at fingertip 2.2 mils300 gloves per box (250 size XL)Order 10 boxes to purchase a case.,"[""https://www.safcodental.com/media/catalog/product/d/r/drcdg.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:48.656436Z
Carbon Air,Cranberry,DRCCY,23.79,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/carbon-reg-air,"Powder-free nitrile exam gloves.Exceptionally strong and flexible formulation prevents tearing, especially while donning.Textured fingertip finishBeaded cuffAmbidextrousBlackThickness: at palm 2.0mils; at fingertips 2.7mils300 gloves per box (250 for x-large)Order 10 boxes to purchase a case","[""https://www.safcodental.com/media/catalog/product/d/r/drccy_2.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:50.169239Z
BeeSure UltraSlim Nitrile,EcoBee,DRCCW,25.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/beesure-ultraslim-nitrile,Powder-free nitrile exam gloves.Ultra tactile and donning ease.Textured fingertip finishBeaded cuffAmbidextrousBlue colorThickness: at palm 2.0 mils; at fingertip 3.5 mils350 gloves per box (Large size 300 gloves per box)Order 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drccw.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:52.314838Z
Alasta Shimmer Pink Nitrile,Dash,DRCCV,13.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/alasta-sup-reg-sup-shimmer-pink-nitrile,"Powder-free nitrile exam gloves.Pink for a cause: for every case sold, DASH® Medical donates $1 to The American Cancer SocietyTextured fingertip finishBeaded cuffAmbidextrousPink colorTested for use with chemotherapy drugsThickness: at palm 2.8 mils; at fingertips 3.9 mils100 gloves per boxOrder 10 boxes to purchase a case","[""https://www.safcodental.com/media/catalog/product/d/r/drccv.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:54.299213Z
Microflex Xceed,Ansell,DRCBC,34.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/microflex-reg-xceed-reg,"Powder-free nitrile examination gloves.Microflex XCEED gloves are manufactured without sulfur-based chemical accelerants for low dermatitis potential and prevent instances of Type 1 latex allergies and Type IV chemical allergic reactions. Boasts stronger formulation to protect against rips and tears while keeping the same tactile sensitivity. Designed with proprietary ergonomic design technology to support musculoskeletal health and increase worker productivity. With low 0.65 AQL, these gloves offer advanced barrier integrity.The 1st exam glove certified as ergonomic by US Ergo.Textured fingertip finishBeaded cuffChlorinatedAmbidextrousBlue colorThickness: at palm 2.8 mils; at fingertip 3.5 mils250 gloves per box (230 for x-large)Order 10 boxes to purchase a case","[""https://www.safcodental.com/media/catalog/product/d/r/drcbc.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:56.248277Z
BeeSure Nitrile,EcoBee,DRCAZ,8.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/beesure-sup-reg-sup-nitrile,Powder-free nitrile exam gloves.Ultrasoft nitrile formulation for latex-like comfort.Textured fingertip finishBeaded cuffNon-chlorinatedAmbidextrousBlue colorThickness: at palm 3 mils; at fingertip 4 mils; ± 0.8100 gloves per boxOrder 10 boxes to purchase a case.,"[""https://www.safcodental.com/media/catalog/product/d/r/drcaz.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:57.254939Z
Alasta Aloe,Dash,DRCAU,12.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/alasta-reg-aloe,"Soft-Fit™ powder-free nitrile exam gloves.The Alasta Aloe nitrile exam gloves are a great choice for those who care for their hands. Experience the power of certified organic aloe, skin friendly design, and the Soft Fit™ thin nitrile formulation. When you need nitrile gloves but want the comfort and performance of latex.Organic aloe provides soothing benefit to dry, irritated skinSkin friendly nitrile formulation lowers risk of developing contact dermatitisGlides on damp hands easilyThin design delivers increased touch sensitivityCool green color","[""https://www.safcodental.com/media/catalog/product/d/r/drcau.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:32:00.119553Z
Safco EZ Green Chloroprene,Safco,DRDAP,17.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/safco-ez-green-chloroprene,Powder-free chloroprene examination gloves.Similar feel and elasticity to that of latex without the risk of allergic reation to latex proteins. Provides supreme tactile sensitivity.Textured fingertip finishBeaded cuffAmbidextreousGreen colorThickness: at palm 3.0 mils; at fingertips 3.5 mils200 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drdap.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:32:02.365437Z
Safco Nitrilex Soothe,Safco,DRCDJ,15.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/safco-nitrilex-soothe,"Powder-free nitrile exam gloves.Our reliably strong and thin nitrile glove, but now with a colloidal oatmeal coating. This is specifically formulated to lock in moisture, giving your skin a chance to rehydrate from handwashing. Designed to soften your skin and soothe itching, our anti-inflammatory properties make our Safco Nitrilex Soothe perfect for clinicians with dry skin, returning your hands to their natural PH balance.Made in MalaysiaTextured fingertip finishBeaded cuffNon-chlorinatedAmbidextreousChemotherapy drug tested per ASTM D6978Robin Egg Blue colorMoisturizing anti-irritant and anti-inflammatory colloidal oatmeal coatedThickness: at palm 2.5 mils; at fingertip 3.3 milsTo purchase a full case, please order as qty of 10","[""https://www.safcodental.com/media/catalog/product/d/r/drcdj.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:32:04.604972Z
Safco Nitrilex Surpass nitrile gloves,Safco,DRCCS,15.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/safco-nitrilex-surpass-trade,Powder-free nitrile exam gloves.A comfortable glove you can wear all day without fatigue. Designed to exceed your expectations in durability and comfort while maintaining tactile sensitivity. Features textured fingertips with the strength you have come to expect in our Nitrilex line of exam gloves. ASTM D6978 tested and approved for use with chemotherapy drugs.Textured fingertip finishBeaded cuffNon-chlorinatedAmbidextrousBlue colorThickness: at palm 3.2 mils; at fingertip 3.5 mils300 gloves per boxOrder 10 boxes to purchase a caseFor full Dental Product Shopper reviewclick here.,"[""https://www.safcodental.com/media/catalog/product/d/r/drccs.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:32:05.286342Z
Safco Nitrilex Prevail,Safco,DRCCJ,15.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/safco-nitrilex-prevail-trade-nitrile-gloves,Powder-free nitrile exam gloves.Nitrilex Prevail preserves ultimate tactile sensitivity with the strength you have come to expect from our line of Nitrilex exam gloves.Textured fingertip finishBeaded cuffNon-chlorinatedAmbidextrousBlue colorPolymer coated for easy donningThickness at palm 2.5 mils; at fingertips 3.0 mils300 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drccj.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:32:11.386516Z
