name,brand,sku,price,currency,pack_size,availability,category_path,url,description,image_urls,specifications,extraction_method,extraction_confidence,fields_via_llm,extracted_at
HeliPlug®,Integra Miltex,PFWQW,145.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/heliplug-reg,Hemostatic absorbable collagen material derived from bovine tendon. Promotes tissue growth by providing a scaffold-like structure. Its cylindrical shape is ideal for extraction and biopsy sites. Indicated for application to moist or bleeding oral wounds created during dental surgery to control bleeding and protect the surface of the wound from further injury. Absorbs within 10 to 14 days.,"[""https://www.safcodental.com/media/catalog/product/p/f/pfwqw.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:26.542341Z
HealiAid® Collagen,Surgical Esthetics,PFWQM,106.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/healiaid-reg-strong-nbsp-strong-collagen,"White, porous, pliable and absorbable collagen wound dressing.Common uses:Extraction socket graft coverage.Hemostasis.3rdmolar extractions.Soft tissue repair.Free-gingival graft donor sites.Features and benefits:Highly purified Type I bovine collagen.High density for added resilience.Easily trimmed according to clinical needs.Fully absorbable.Can easily be shaped by hand.Individually packaged and sterile.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwqm.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:28.863706Z
HemoStat™,Medicom,PFPFT,118.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/hemostat-sup-trade-sup,"Topical hemostatic dressing in the form of a sterile fabric prepared by the chemical treatment of regenerated cellulose. Provides safe and effective control of bleeding for extractions and periodontal surgery.When the fabric comes into contact with blood or fluids, it expands and transforms to a clear, viscous gel which fills voids and seals capillary ends to help stop bleeding.","[""https://www.safcodental.com/media/catalog/product/p/f/pfpft.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:30.591013Z
Soft Tissue Trimmer,Kerr Rotary,PFLWH,139.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/soft-tissue-trimmer,FG bur designed for soft tissue surgery. Can be used as an alternative to electrosurgery and surgical blades; functions as a rotating scalpel for soft tissue that promotes coagulation for minimal bleeding. Biocompatible hard oxide point cuts tissue without burning. Autoclavable.,"[""https://www.safcodental.com/media/catalog/product/p/f/pflwh.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:33.096771Z
Feather® Microsurgical Blades,J. Morita,PFLVV,89.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/feather-sup-reg-nbsp-sup-microsurgical-blades,"Advanced instrument system of interchangeable blades and handles.Ultra-sharp, retains cutting efficiency.Ideal for microsurgery & use with a microscope.Optimal shapes & blade thickness.Small tips for surgical precision.Variety of applications including periodontal & regenerative surgery.Multiple handle designs.Made of high-quality stainless steelAll blades are gamma-sterilized and can be used immediately after opening the package.","[""https://www.safcodental.com/media/catalog/product/p/f/pflvv.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:35.134018Z
Sterile water for injection - B Braun,B Braun,PFXKQ,80.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/sterile-water-for-injection-b-braun,"Due to supply chain disruptions, we are unable to accept backorders until the item is back in stock.Clear, colorless, odorless liquid. Sterile, hypotonic, nonpyrogenic, and contains no bacteriostatic or antimicrobial agents. EXCEL®IV bags feature a sturdy port system and are not manufactured with latex, PVC or DEHP.Click here to see full prescribing information","[""https://www.safcodental.com/media/catalog/product/p/f/pfxkq.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:41.153973Z
Sodium chloride 0.9% for injection - Baxter,Baxter Healthcare,PFXHK,73.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/sodium-chloride-0-9-for-injection-baxter,"Due to supply chain disruptions, we are unable to accept backorders until the item is back in stock.0.9% sodium chloride injection. Viaflex IV injection plastic container. USP sterile disposable port closure. Not made with natural rubber latex.","[""https://www.safcodental.com/media/catalog/product/p/f/pfxhk.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:43.524107Z
Sodium chloride 0.9% for injection - B Braun,B Braun,PFXHJ,63.29,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/sodium-chloride-0-9-for-injection-b-braun,"Due to supply chain disruptions, we are unable to accept backorders until the item is back in stock.Indicated for extracellular fluid replacement, treatment of metabolic alkalosis in the presence of fluid loss and mild sodium depletion.Note:250ml bags and 500ml bags come in EXCEL®IV bags, which feature a sturdy port system.1,000ml bags come inbothE3 bags, which have rounded shoulders, no overwrap, a seamless design, and the EXCEL®IV bags, which feature a sturdy port system.Both the EXCEL® and E3 bags are not manufactured with latex, PVC or DEHP.Click here to see full prescribing information","[""https://www.safcodental.com/media/catalog/product/p/f/pfxhj.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:45.562322Z
Lactated Ringer's,B Braun,PFXER,70.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/lactated-ringer-s,"Due to supply chain disruptions, we are unable to accept backorders until the item is back in stock.Sterile, nonpyrogenic and contains no bacteriostatic or antimicrobial agents. Indicated for use in adults and pediatric patients as a source of electrolytes and water for hydration. EXCEL®IV bags feature a sturdy port system and are not manufactured with latex, PVC or DEHP.Click here to see full prescribing information","[""https://www.safcodental.com/media/catalog/product/p/f/pfxer.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:46.923978Z
IV administration sets,B Braun,PFXCT,174.29,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/iv-administration-sets,"SafeDay IV administration sets are indicated for 24-hour use. Components are not made with DEHP, latex or natural rubber. Sterile packaging permits direct placement of set on sterile field. Cost-effective needle-free access ports are designed to provide an effective barrier against microbial contamination.","[""https://www.safcodental.com/media/catalog/product/p/f/pfxct.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:49.615936Z
